neris_id_incident,neris_id_entity,incident_type,status,call_create,dispatch_time,arrival_time,cleared_time,latitude,longitude,address,civilian_injuries,civilian_fatalities,firefighter_injuries,firefighter_fatalities,primary_action,area_of_origin,fire_cause,construction_type,aid_type
INC-2023-0011,VA-FDID-042,Water Rescue,Closed,2023-07-24T13:55:39,2023-07-24T13:59:54,2023-07-24T14:06:56,2023-07-24T15:36:14,37.501788,-77.357793,4989 Valley Dr Ettrick VA,0,0,0,0,Rescue,,,,None
INC-2023-0012,VA-FDID-042,MVA,Closed,2023-05-06T11:29:32,2023-05-06T11:33:51,2023-05-06T11:46:54,2023-05-06T12:06:58,37.407683,-77.510558,1932 Hill St Midlothian VA,0,0,0,0,Rescue,,,,None
INC-2023-0013,VA-FDID-042,EMS,Closed,2023-02-14T23:48:12,2023-02-14T23:52:56,2023-02-15T00:06:36,2023-02-15T00:37:21,37.253696,-77.511604,1233 Mill Rd Chesterfield VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0014,VA-FDID-042,EMS,Closed,2024-03-03T01:04:54,2024-03-03T01:07:01,2024-03-03T01:20:01,2024-03-03T03:02:50,37.354941,-77.621281,8935 Mill Rd Ettrick VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0015,VA-FDID-042,CO Alarm,Closed,2024-06-05T17:09:08,2024-06-05T17:11:43,2024-06-05T17:23:11,2024-06-05T18:53:50,37.363446,-77.606838,1149 Maple Ave Richmond VA,0,0,0,0,Investigated,,,,None
INC-2023-0016,VA-FDID-042,CO Alarm,Closed,2023-02-25T03:24:25,2023-02-25T03:25:40,2023-02-25T03:33:34,2023-02-25T04:02:46,37.499626,-77.362146,1260 Lake Rd Chester VA,0,0,0,0,Investigated,,,,None
INC-2023-0017,VA-FDID-042,Service Call,Closed,2024-07-15T20:16:08,2024-07-15T20:19:35,2024-07-15T20:31:39,2024-07-15T21:24:49,37.463386,-77.383001,3219 Oak Ave Richmond VA,0,0,0,0,Service,,,,None
INC-2023-0018,VA-FDID-042,Structure Fire,Closed,2024-11-01T23:05:02,2024-11-01T23:08:54,2024-11-01T23:14:34,2024-11-01T23:42:50,37.348786,-77.570279,1890 Cedar Ln Chester VA,0,0,0,0,Extinguishment,Basement,Undetermined,Masonry,None
INC-2023-0019,VA-FDID-042,Structure Fire,Closed,2024-11-10T05:35:58,2024-11-10T05:38:51,2024-11-10T05:52:14,2024-11-10T06:25:36,37.243176,-77.306287,341 Oak Ave Colonial Heights VA,0,0,0,0,Extinguishment,Garage,Heating,Wood Frame,None
INC-2023-0020,VA-FDID-042,False Alarm,Closed,2023-05-08T21:03:30,2023-05-08T21:04:30,2023-05-08T21:15:09,2023-05-08T22:11:21,37.505955,-77.391948,4773 Washington Blvd Ettrick VA,0,0,0,0,Investigated,,,,None
INC-2023-0021,VA-FDID-042,Hazmat,Closed,2024-07-12T00:06:03,2024-07-12T00:07:42,2024-07-12T00:14:56,2024-07-12T01:15:26,37.29331,-77.682607,8983 Main St Ettrick VA,0,0,0,0,Hazmat Mitigation,,,,None
INC-2023-0022,VA-FDID-042,Water Rescue,Closed,2024-12-15T02:37:05,2024-12-15T02:38:45,2024-12-15T02:43:43,2024-12-15T04:13:03,37.252033,-77.63167,9849 Oak Ave Ettrick VA,0,0,0,0,Rescue,,,,None
INC-2023-0023,VA-FDID-042,EMS,Closed,2024-03-18T11:31:09,2024-03-18T11:34:37,2024-03-18T11:48:45,2024-03-18T12:14:10,37.413814,-77.53831,9662 River Rd Chesterfield VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0024,VA-FDID-042,EMS,Closed,2023-09-02T00:48:42,2023-09-02T00:50:49,2023-09-02T01:01:34,2023-09-02T01:39:26,37.429507,-77.586001,5280 Hill St Colonial Heights VA,0,1,0,0,Medical Aid,,,,None
INC-2023-0025,VA-FDID-042,EMS,Closed,2024-03-13T06:57:43,2024-03-13T06:59:01,2024-03-13T07:12:11,2024-03-13T08:01:17,37.379765,-77.653017,5818 Hill St Richmond VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0026,VA-FDID-042,MVA,Closed,2024-10-09T14:07:56,2024-10-09T14:11:56,2024-10-09T14:21:05,2024-10-09T16:04:35,37.523156,-77.38316,8766 Main St Ettrick VA,0,0,0,0,Rescue,,,,None
INC-2023-0027,VA-FDID-042,EMS,Closed,2024-12-30T06:55:25,2024-12-30T06:57:32,2024-12-30T07:03:30,2024-12-30T07:38:06,37.450725,-77.643821,4716 River Rd Chester VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0028,VA-FDID-042,Water Rescue,Closed,2023-07-25T01:00:59,2023-07-25T01:04:04,2023-07-25T01:12:21,2023-07-25T01:39:17,37.25569,-77.53657,4633 Main St Richmond VA,0,0,0,0,Rescue,,,,None
INC-2023-0029,VA-FDID-042,Wildfire,Closed,2023-05-06T12:06:22,2023-05-06T12:09:43,2023-05-06T12:21:00,2023-05-06T13:57:34,37.230901,-77.675902,2542 Lake Rd Richmond VA,0,0,0,0,Extinguishment,Living Room,Cooking,,None
INC-2023-0030,VA-FDID-042,Vehicle Fire,Closed,2023-08-28T10:21:07,2023-08-28T10:25:57,2023-08-28T10:30:37,2023-08-28T11:39:28,37.291023,-77.606188,1784 Maple Ave Colonial Heights VA,0,0,0,0,Extinguishment,Living Room,Natural,,None
INC-2023-0031,VA-FDID-042,EMS,Closed,2024-11-02T13:25:06,2024-11-02T13:29:30,2024-11-02T13:36:31,2024-11-02T14:52:48,37.235436,-77.411374,5542 Mill Rd Bon Air VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0032,VA-FDID-042,EMS,Closed,2023-07-27T05:37:08,2023-07-27T05:41:29,2023-07-27T05:47:19,2023-07-27T06:59:32,37.48965,-77.362563,3744 Cedar Ln Colonial Heights VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0033,VA-FDID-042,EMS,Closed,2024-11-07T18:38:19,2024-11-07T18:40:16,2024-11-07T18:44:40,2024-11-07T20:34:46,37.285939,-77.574695,1237 Mill Rd Midlothian VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0034,VA-FDID-042,MVA,Closed,2024-10-17T06:59:02,2024-10-17T07:01:26,2024-10-17T07:05:54,2024-10-17T07:41:38,37.491112,-77.601514,9612 Pine Rd Richmond VA,0,0,0,0,Rescue,,,,None
INC-2023-0035,VA-FDID-042,False Alarm,Closed,2023-09-01T15:22:08,2023-09-01T15:25:43,2023-09-01T15:38:26,2023-09-01T16:14:13,37.343559,-77.475365,4273 Main St Ettrick VA,0,0,0,0,Investigated,,,,None
INC-2023-0036,VA-FDID-042,Gas Leak,Closed,2024-06-17T11:56:42,2024-06-17T11:58:32,2024-06-17T12:08:44,2024-06-17T13:27:37,37.248992,-77.440305,5509 River Rd Midlothian VA,0,0,0,0,Hazmat Mitigation,,,,None
INC-2023-0037,VA-FDID-042,EMS,Closed,2024-01-29T21:26:55,2024-01-29T21:30:45,2024-01-29T21:41:43,2024-01-29T22:46:15,37.34872,-77.587738,2185 Cedar Ln Bon Air VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0038,VA-FDID-042,Electrical,Closed,2023-05-16T04:06:17,2023-05-16T04:09:42,2023-05-16T04:18:50,2023-05-16T05:34:16,37.392381,-77.705838,4800 Cedar Ln Bon Air VA,0,0,0,0,Extinguishment,Roof,Undetermined,,None
INC-2023-0039,VA-FDID-042,EMS,Closed,2024-06-08T18:36:16,2024-06-08T18:39:26,2024-06-08T18:51:30,2024-06-08T19:34:40,37.425655,-77.592485,5591 Oak Ave Colonial Heights VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0040,VA-FDID-042,EMS,Closed,2024-09-18T11:25:19,2024-09-18T11:26:56,2024-09-18T11:31:21,2024-09-18T11:57:39,37.301453,-77.515945,1293 Park Dr Bon Air VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0041,VA-FDID-042,Hazmat,Closed,2023-10-26T05:52:38,2023-10-26T05:55:20,2023-10-26T06:03:29,2023-10-26T06:43:37,37.424817,-77.703782,1846 Mill Rd Bon Air VA,0,0,0,0,Hazmat Mitigation,,,,None
INC-2023-0042,VA-FDID-042,Structure Fire,Closed,2023-12-27T19:50:15,2023-12-27T19:53:37,2023-12-27T20:01:52,2023-12-27T20:38:26,37.364939,-77.385433,8802 Lake Rd Chesterfield VA,0,0,0,0,Extinguishment,Attic,Heating,Open Land,None
INC-2023-0043,VA-FDID-042,EMS,Closed,2023-12-13T08:25:55,2023-12-13T08:30:05,2023-12-13T08:42:11,2023-12-13T10:03:37,37.305757,-77.607104,4643 Mill Rd Colonial Heights VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0044,VA-FDID-042,EMS,Closed,2023-03-02T04:23:39,2023-03-02T04:25:39,2023-03-02T04:34:17,2023-03-02T05:40:08,37.323913,-77.489939,2367 Elm St Chester VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0045,VA-FDID-042,False Alarm,Closed,2023-11-19T05:41:53,2023-11-19T05:44:17,2023-11-19T05:57:32,2023-11-19T07:21:08,37.352732,-77.623266,6983 Washington Blvd Colonial Heights VA,0,0,0,0,Investigated,,,,None
INC-2023-0046,VA-FDID-042,Service Call,Closed,2024-08-17T15:43:02,2024-08-17T15:45:39,2024-08-17T15:57:47,2024-08-17T16:18:35,37.510822,-77.586555,6489 Valley Dr Colonial Heights VA,0,0,0,0,Service,,,,None
INC-2023-0047,VA-FDID-042,EMS,Closed,2024-04-13T13:26:35,2024-04-13T13:29:39,2024-04-13T13:37:23,2024-04-13T14:34:38,37.358751,-77.69439,5607 School St Ettrick VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0048,VA-FDID-042,EMS,Closed,2024-12-15T05:29:53,2024-12-15T05:33:32,2024-12-15T05:46:38,2024-12-15T06:10:18,37.500079,-77.469243,544 Oak Ave Ettrick VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0049,VA-FDID-042,False Alarm,Closed,2023-07-22T01:39:54,2023-07-22T01:42:17,2023-07-22T01:49:53,2023-07-22T03:11:57,37.326054,-77.401508,6311 Pine Rd Colonial Heights VA,0,0,0,0,Investigated,,,,None
INC-2023-0050,VA-FDID-042,Structure Fire,Closed,2024-01-01T07:09:17,2024-01-01T07:13:28,2024-01-01T07:26:40,2024-01-01T07:53:46,37.527972,-77.566016,1224 Mill Rd Ettrick VA,1,0,0,0,Extinguishment,Kitchen,Arson,Masonry,None
INC-2023-0051,VA-FDID-042,Hazmat,Closed,2023-04-09T00:55:46,2023-04-09T00:59:37,2023-04-09T01:05:34,2023-04-09T02:42:34,37.512327,-77.519986,4298 Mill Rd Midlothian VA,0,0,0,0,Hazmat Mitigation,,,,None
INC-2023-0052,VA-FDID-042,EMS,Closed,2023-03-30T23:02:50,2023-03-30T23:05:09,2023-03-30T23:10:59,2023-03-31T00:49:59,37.235704,-77.581217,6249 Washington Blvd Ettrick VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0053,VA-FDID-042,EMS,Closed,2023-07-08T15:02:26,2023-07-08T15:06:24,2023-07-08T15:15:32,2023-07-08T17:08:57,37.408123,-77.657578,9372 Mill Rd Richmond VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0054,VA-FDID-042,CO Alarm,Closed,2024-01-28T23:47:33,2024-01-28T23:50:00,2024-01-28T23:54:12,2024-01-29T01:11:33,37.474699,-77.663784,6034 School St Colonial Heights VA,0,0,0,0,Investigated,,,,None
INC-2023-0055,VA-FDID-042,CO Alarm,Closed,2024-02-10T06:03:51,2024-02-10T06:06:00,2024-02-10T06:20:30,2024-02-10T07:53:58,37.460392,-77.52005,9807 Pine Rd Midlothian VA,0,0,0,0,Investigated,,,,None
INC-2023-0056,VA-FDID-042,Wildfire,Closed,2024-11-15T18:47:47,2024-11-15T18:49:49,2024-11-15T19:01:44,2024-11-15T20:39:32,37.4111,-77.554404,570 Park Dr Colonial Heights VA,0,0,0,0,Extinguishment,Basement,Smoking,,None
INC-2023-0057,VA-FDID-042,Electrical,Closed,2023-08-06T05:12:43,2023-08-06T05:16:42,2023-08-06T05:25:24,2023-08-06T07:01:17,37.231045,-77.326775,1502 Cedar Ln Ettrick VA,0,0,0,0,Extinguishment,Roof,Undetermined,,None
INC-2023-0058,VA-FDID-042,Structure Fire,Closed,2023-12-15T02:34:44,2023-12-15T02:36:07,2023-12-15T02:45:08,2023-12-15T03:35:23,37.34932,-77.608678,9628 Maple Ave Bon Air VA,0,0,0,0,Extinguishment,Attic,Smoking,Non-Combustible,None
INC-2023-0059,VA-FDID-042,Wildfire,Closed,2024-06-29T22:09:56,2024-06-29T22:12:05,2024-06-29T22:21:18,2024-06-29T23:15:37,37.297161,-77.417486,5269 Oak Ave Ettrick VA,0,0,0,0,Extinguishment,Garage,Undetermined,,None
INC-2023-0060,VA-FDID-042,Service Call,Closed,2023-08-03T18:19:35,2023-08-03T18:23:49,2023-08-03T18:36:46,2023-08-03T20:18:14,37.3129,-77.66579,3280 Pine Rd Chester VA,0,0,0,0,Service,,,,None
INC-2023-0061,VA-FDID-042,EMS,Closed,2023-04-09T07:40:38,2023-04-09T07:41:49,2023-04-09T07:46:44,2023-04-09T09:22:17,37.315641,-77.328364,8142 Oak Ave Colonial Heights VA,2,0,0,0,Medical Aid,,,,None
INC-2023-0062,VA-FDID-042,Structure Fire,Closed,2023-05-24T04:47:16,2023-05-24T04:49:20,2023-05-24T05:01:29,2023-05-24T05:37:03,37.474635,-77.545717,1313 River Rd Ettrick VA,0,0,0,0,Extinguishment,Basement,Electrical,Masonry,None
INC-2023-0063,VA-FDID-042,MVA,Closed,2023-04-03T00:05:49,2023-04-03T00:10:04,2023-04-03T00:21:10,2023-04-03T02:03:56,37.406838,-77.458633,8661 Washington Blvd Bon Air VA,0,0,0,0,Rescue,,,,None
INC-2023-0064,VA-FDID-042,EMS,Closed,2023-11-30T01:58:03,2023-11-30T02:01:28,2023-11-30T02:16:03,2023-11-30T02:44:16,37.410889,-77.409964,3504 School St Chester VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0065,VA-FDID-042,Structure Fire,Closed,2024-03-04T17:52:52,2024-03-04T17:54:32,2024-03-04T17:58:34,2024-03-04T19:14:20,37.363151,-77.468476,4871 Main St Chester VA,0,0,0,0,Extinguishment,Bedroom,Natural,Non-Combustible,None
INC-2023-0066,VA-FDID-042,CO Alarm,Closed,2024-09-03T22:10:43,2024-09-03T22:14:13,2024-09-03T22:21:35,2024-09-03T23:39:37,37.262433,-77.616076,2541 Hill St Midlothian VA,0,0,0,0,Investigated,,,,None
INC-2023-0067,VA-FDID-042,Electrical,Closed,2023-08-27T22:17:59,2023-08-27T22:22:10,2023-08-27T22:35:52,2023-08-27T23:35:16,37.359746,-77.518521,5082 Church Ave Bon Air VA,0,0,0,0,Extinguishment,Bedroom,Cooking,,None
INC-2023-0068,VA-FDID-042,False Alarm,Closed,2024-11-21T20:02:39,2024-11-21T20:06:47,2024-11-21T20:16:17,2024-11-21T21:58:42,37.30311,-77.669469,9524 River Rd Richmond VA,0,0,0,0,Investigated,,,,None
INC-2023-0069,VA-FDID-042,EMS,Closed,2023-02-01T05:58:21,2023-02-01T06:01:21,2023-02-01T06:14:12,2023-02-01T08:03:09,37.360669,-77.594737,9690 Washington Blvd Ettrick VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0070,VA-FDID-042,Brush/Grass Fire,Closed,2023-11-14T04:09:36,2023-11-14T04:11:58,2023-11-14T04:17:45,2023-11-14T04:59:42,37.326941,-77.428531,4822 School St Bon Air VA,0,0,0,0,Extinguishment,Outside,Mechanical,,None
INC-2023-0071,VA-FDID-042,EMS,Closed,2023-09-09T02:15:36,2023-09-09T02:19:53,2023-09-09T02:30:46,2023-09-09T04:01:01,37.475478,-77.70554,8989 Park Dr Bon Air VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0072,VA-FDID-042,CO Alarm,Closed,2024-01-23T04:35:05,2024-01-23T04:37:58,2024-01-23T04:42:50,2024-01-23T05:30:37,37.308117,-77.653595,4819 Park Dr Ettrick VA,0,0,0,0,Investigated,,,,None
INC-2023-0073,VA-FDID-042,EMS,Closed,2024-09-12T20:17:16,2024-09-12T20:21:17,2024-09-12T20:27:59,2024-09-12T21:30:24,37.393252,-77.485099,1627 Cedar Ln Colonial Heights VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0074,VA-FDID-042,EMS,Closed,2024-10-08T08:16:23,2024-10-08T08:19:30,2024-10-08T08:28:28,2024-10-08T09:57:56,37.439623,-77.539804,8005 Park Dr Chester VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0075,VA-FDID-042,Water Rescue,Closed,2024-04-10T13:12:29,2024-04-10T13:16:40,2024-04-10T13:22:59,2024-04-10T13:52:30,37.310874,-77.389998,6898 Maple Ave Colonial Heights VA,0,0,0,0,Rescue,,,,None
INC-2023-0076,VA-FDID-042,Service Call,Closed,2023-08-20T21:29:03,2023-08-20T21:32:31,2023-08-20T21:44:52,2023-08-20T22:25:09,37.361964,-77.512263,5546 Lake Rd Colonial Heights VA,0,0,0,0,Service,,,,None
INC-2023-0077,VA-FDID-042,EMS,Closed,2023-05-27T12:44:06,2023-05-27T12:47:32,2023-05-27T12:58:04,2023-05-27T13:49:57,37.484804,-77.54169,5313 Church Ave Bon Air VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0078,VA-FDID-042,CO Alarm,Closed,2024-05-30T12:03:23,2024-05-30T12:05:01,2024-05-30T12:17:28,2024-05-30T12:42:31,37.265874,-77.319859,5539 Valley Dr Richmond VA,0,0,0,0,Investigated,,,,None
INC-2023-0079,VA-FDID-042,Structure Fire,Closed,2023-12-21T21:45:24,2023-12-21T21:49:28,2023-12-21T21:55:55,2023-12-21T23:11:53,37.48928,-77.318017,1325 Park Dr Colonial Heights VA,0,0,0,0,Extinguishment,Bedroom,Smoking,,None
INC-2023-0080,VA-FDID-042,MVA,Closed,2024-10-29T11:17:57,2024-10-29T11:20:34,2024-10-29T11:29:58,2024-10-29T13:15:32,37.443615,-77.402239,8964 Main St Chesterfield VA,0,0,0,0,Rescue,,,,None
INC-2023-0081,VA-FDID-042,Structure Fire,Closed,2023-06-26T16:39:05,2023-06-26T16:41:56,2023-06-26T16:47:36,2023-06-26T18:34:07,37.439167,-77.665797,2825 Church Ave Midlothian VA,0,0,0,0,Extinguishment,Basement,Smoking,Non-Combustible,None
INC-2023-0082,VA-FDID-042,EMS,Closed,2023-12-01T12:35:01,2023-12-01T12:37:03,2023-12-01T12:50:06,2023-12-01T14:06:21,37.397778,-77.388992,2885 Elm St Richmond VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0083,VA-FDID-042,Service Call,Closed,2024-01-22T13:11:23,2024-01-22T13:12:59,2024-01-22T13:20:56,2024-01-22T14:43:53,37.419371,-77.522172,253 Hill St Colonial Heights VA,0,0,0,0,Service,,,,None
INC-2023-0084,VA-FDID-042,Wildfire,Closed,2023-02-27T08:53:08,2023-02-27T08:55:36,2023-02-27T09:09:37,2023-02-27T10:10:27,37.419682,-77.536276,4197 Park Dr Colonial Heights VA,0,0,0,0,Extinguishment,Bedroom,Natural,,None
INC-2023-0085,VA-FDID-042,Service Call,Closed,2023-10-24T05:08:44,2023-10-24T05:11:15,2023-10-24T05:25:03,2023-10-24T06:25:26,37.525808,-77.587908,6584 Pine Rd Richmond VA,0,0,0,0,Service,,,,None
INC-2023-0086,VA-FDID-042,Electrical,Closed,2023-02-08T02:15:03,2023-02-08T02:19:13,2023-02-08T02:31:41,2023-02-08T03:30:45,37.460722,-77.613953,5872 Cedar Ln Ettrick VA,0,0,0,0,Extinguishment,Living Room,Electrical,,None
INC-2023-0087,VA-FDID-042,CO Alarm,Closed,2024-12-02T16:39:56,2024-12-02T16:43:41,2024-12-02T16:48:21,2024-12-02T17:50:31,37.464583,-77.692654,6077 Church Ave Chester VA,0,0,0,0,Investigated,,,,None
INC-2023-0088,VA-FDID-042,EMS,Closed,2023-05-17T10:10:05,2023-05-17T10:11:38,2023-05-17T10:24:50,2023-05-17T11:34:47,37.387256,-77.340605,2795 Pine Rd Colonial Heights VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0089,VA-FDID-042,Brush/Grass Fire,Closed,2024-11-07T01:22:31,2024-11-07T01:26:56,2024-11-07T01:32:53,2024-11-07T02:56:49,37.516868,-77.649697,3796 Valley Dr Ettrick VA,0,0,0,0,Extinguishment,Attic,Smoking,,None
INC-2023-0090,VA-FDID-042,False Alarm,Closed,2023-03-12T03:22:03,2023-03-12T03:23:06,2023-03-12T03:31:36,2023-03-12T05:04:51,37.265077,-77.558566,4395 River Rd Bon Air VA,0,0,0,0,Investigated,,,,None
INC-2023-0091,VA-FDID-042,Hazmat,Closed,2023-07-01T14:45:22,2023-07-01T14:46:28,2023-07-01T15:01:02,2023-07-01T16:37:41,37.326402,-77.461967,1135 School St Colonial Heights VA,0,0,0,0,Hazmat Mitigation,,,,None
INC-2023-0092,VA-FDID-042,EMS,Closed,2023-04-01T14:59:49,2023-04-01T15:01:00,2023-04-01T15:05:38,2023-04-01T16:07:11,37.526778,-77.659552,3946 Hill St Chesterfield VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0093,VA-FDID-042,MVA,Closed,2024-07-31T05:08:09,2024-07-31T05:10:56,2024-07-31T05:24:57,2024-07-31T07:24:09,37.274357,-77.540046,1722 Valley Dr Bon Air VA,0,0,0,0,Rescue,,,,None
INC-2023-0094,VA-FDID-042,Vehicle Fire,Closed,2024-06-20T03:45:51,2024-06-20T03:47:46,2024-06-20T03:59:20,2024-06-20T05:20:02,37.513167,-77.36382,1727 School St Midlothian VA,0,0,0,0,Extinguishment,Engine Area,Mechanical,,None
INC-2023-0095,VA-FDID-042,EMS,Closed,2023-05-28T10:17:16,2023-05-28T10:21:53,2023-05-28T10:33:38,2023-05-28T11:06:08,37.426831,-77.449318,9883 Main St Richmond VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0096,VA-FDID-042,EMS,Closed,2024-03-14T12:29:46,2024-03-14T12:31:03,2024-03-14T12:44:30,2024-03-14T13:32:47,37.403915,-77.380779,3917 Maple Ave Colonial Heights VA,0,0,1,0,Medical Aid,,,,None
INC-2023-0097,VA-FDID-042,MVA,Closed,2023-04-11T23:13:44,2023-04-11T23:15:48,2023-04-11T23:22:46,2023-04-11T23:57:46,37.426317,-77.695688,343 Maple Ave Colonial Heights VA,0,0,2,0,Rescue,,,,None
INC-2023-0098,VA-FDID-042,EMS,Closed,2023-02-10T16:47:18,2023-02-10T16:51:27,2023-02-10T17:02:38,2023-02-10T18:34:27,37.262095,-77.680577,7444 Mill Rd Midlothian VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0099,VA-FDID-042,Structure Fire,Closed,2024-04-22T18:25:21,2024-04-22T18:29:27,2024-04-22T18:42:20,2024-04-22T19:43:30,37.365413,-77.32039,1096 Park Dr Colonial Heights VA,0,0,0,0,Extinguishment,Roof,Electrical,Wood Frame,None
INC-2023-0100,VA-FDID-042,Electrical,Closed,2023-09-08T04:35:58,2023-09-08T04:37:35,2023-09-08T04:42:42,2023-09-08T05:19:55,37.310505,-77.452769,9084 Church Ave Midlothian VA,0,0,0,0,Extinguishment,Attic,Heating,,None
INC-2023-0101,VA-FDID-042,EMS,Closed,2023-03-19T00:49:13,2023-03-19T00:53:51,2023-03-19T01:07:15,2023-03-19T03:05:40,37.487648,-77.533972,3843 Washington Blvd Midlothian VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0102,VA-FDID-042,False Alarm,Closed,2023-08-31T18:19:24,2023-08-31T18:21:44,2023-08-31T18:30:05,2023-08-31T19:41:11,37.514078,-77.431272,7870 Oak Ave Richmond VA,0,0,0,0,Investigated,,,,None
INC-2023-0103,VA-FDID-042,Vehicle Fire,Closed,2024-07-27T20:09:20,2024-07-27T20:13:47,2024-07-27T20:20:00,2024-07-27T21:55:57,37.245994,-77.32335,9302 Maple Ave Ettrick VA,0,0,0,0,Extinguishment,Engine Area,Cooking,,None
INC-2023-0104,VA-FDID-042,Electrical,Closed,2023-08-12T09:48:02,2023-08-12T09:50:21,2023-08-12T10:00:21,2023-08-12T10:34:29,37.401376,-77.620904,8000 Cedar Ln Colonial Heights VA,0,0,0,0,Extinguishment,Basement,Natural,,None
INC-2023-0105,VA-FDID-042,False Alarm,Closed,2024-09-18T23:41:49,2024-09-18T23:46:25,2024-09-18T23:59:59,2024-09-19T01:44:52,37.412072,-77.44892,530 River Rd Ettrick VA,0,0,0,0,Investigated,,,,None
INC-2023-0106,VA-FDID-042,EMS,Closed,2024-06-29T19:15:16,2024-06-29T19:20:11,2024-06-29T19:29:58,2024-06-29T20:37:53,37.229832,-77.358055,9378 School St Bon Air VA,0,0,0,0,Medical Aid,,,,None
